Card Name,Website Name,Source,Card Type,Compatibility,Count,Persuasion Cost,Specimen Cost,Acquisition Bonus,Passive Ability,Green Access,Purple Access,Yellow Access,Emperor Access,Spacing Guild Access,Bene Gesserit Access,Fremen Access,Spy Access,Tech,Shipping,Unload,Infiltration,Research,Grafting,Spies,Sandworms,Contracts,Battle Icons,Sardaukar,Agent Ability,Reveal Persuasion,Reveal Swords,Reveal Ability,Emperor Affiliation,Spacing Guild Affiliation,Bene Gesserit Affiliation,Fremen Affiliation,VPs Available,Count in Merakon's House Blend
"Power Play
",,Base,Imperium,All,3,5,,,,,,,X,X,X,X,,,,,,,,,,,,,"+2 Influence instead of +1 Influence
and Trash this card",,,,,,,,,1
Reverend Mother Mohiam,,Base,Imperium,All,1,6,,,,,,,X,,X,,,,,,,,,,,,,,"With another Bene Gesserit card in play
each opponent discards 2 cards",2,,+2 Spice,X,,X,,,1
Sardaukar Infantry,,Base,Imperium,All,2,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,,X,,,,,1
Sardaukar Legion,,Base,Imperium,All,2,5,,,,X,,,X,,,,,,,,,,,,,,,,+2 Troops,1,,"Deploy up to 3 troops from
Garrison to Conflict",X,,,,,
"Scout
",,Base,Imperium,All,2,1,,,,,X,X,,,,,,,,,,,,,,,,,,1,1,Retreat up to 2 Troops from Conflict,,,,,,
"Shifting Allegiances
",,Base,Imperium,All,2,3,,,,X,,X,,,,,,,,,,,,,,,,,"Pay 1 Influence and 2 Spice to gain
+2 other Influence",2,,,,,,,,
Sietch Reverend Mother,,Base,Imperium,All,1,4,,,,,,,,,X,X,,,,,,,,,,,,,Trash a card,,,"Fremen Bond:
+3 Persuation and +1 Spice",,,X,X,,1
Smuggler's Thopter,,Base,Imperium,All,2,4,,,,,,X,,,,,,,,,,,,,,,,,"With 2 Spacing Guild Influence:
Draw 2 cards",1,,+1 Spice,,X,,,,
"Space Travel
",,Base,Imperium,All,2,3,,,,,,,,X,,,,,,,,,,,,,,,Draw 1 card,2,,,,X,,,,1
"Spice Hunter
",,Base,Imperium,All,2,2,,,,,,X,,,,X,,,,,,,,,,,,,,1,1,Fremen bond: +1 Spice,,,,X,,1
"Spice Smugglers
",,Base,Imperium,All,2,2,,,,,X,,,,,,,,,,,,,,,,,,"Pay 2 spice:
+1 Spacing Guild Influence and +3 Solari",1,1,,,X,,,,1
Stilgar,,Base,Imperium,All,1,5,,,,,X,X,,,,X,,,,,,,,,,,,,+1 Water,2,3,,,,,X,,
Test of Humanity,,Base,Imperium,All,1,3,,,,X,X,,,,X,,,,,,,,,,,,,,"Opponents discard 1 card or
lose 1 deployed Troop",2,,,,,X,,,
The Voice,,Base,Imperium,All,2,2,,,,,X,X,,,,,,,,,,,,,,,,,"Block 1 board space for Opponents
this round",2,,,,,X,,,1
Thufir Hawat,,Base,Imperium,All,1,5,,,,,X,X,X,X,X,X,,,,,,,,,,,,,Draw 1 card,1,,Draw 1 Intrigue card,,,,,,1
Worm Riders,,Base,Imperium,All,2,6,,,,,X,X,,,,,,,,,,,,,,,,,+2 Spice,,,Having 2 Fremen Influence: +4 Swords. Having Fremen Alliance: +2 swords.,,,,X,,
CHOAM Demands,,Bloodlines,Imperium,Contracts (Uprising),1,6,,,,X,X,X,,,,,,,,,,,,,,X,,,Complete one of your contracts.,,,If you have completed 4+ Contracts: Trash this card -> +1 Influence with every Faction.,,X,,,,
Corrupt Bureaucrat,,Bloodlines,Imperium,Contracts (Uprising),1,4,,,When this card is discarded: +3 Solari.,X,,,,X,,,X,,,,,,,X,,X,,,If you recalled a Spy this turn: +1 Contract.,2,,,,X,,,,
Delivery Logistics,,Bloodlines,Imperium,Contracts (Uprising),2,2,,,,,,,,,,,,,,,,,,,,X,,,This has the Agent icons shown on all your incomplete contracts.,,,+1 Persuasion OR +1 Contract.,,X,,,,
Mercantile Affairs,,Bloodlines,Imperium,Contracts (Uprising),1,5,,+1 Contract,,,X,X,,,X,,X,,,,,,,X,,X,,,If you completed a contract this turn: +1 Intrigue card,2,,,,,X,,,
Arrakis Observer,,Bloodlines,Imperium,Uprising,1,3,,,,,X,X,,,,,,,,,,,,X,,,,,Discard a card -> +1 Spy with Deep Cover. If you discarded a Spacing Guild card: +2 Spice. ,1,,Recall a Spy -> +3 Swords.,,X,,,,
Bombast,,Bloodlines,Imperium,All,1,1,,,,X,,,,,,,,,,,,,,,,,,,,1,,If you have 6+ Persuasion: +3 Solari and trash this card.,X,,,,,
Command Center,,Bloodlines,Imperium,All,1,3,,,,,X,,X,,,,,,,,,,,,,,,,If you have 2+ Influence with the Emperor: +1 Troop.,1,,Retreat 2 Troops -> +2 Persuasion.,X,,,,,
Disruption Tactics,,Bloodlines,Imperium,All,1,2,,,,,,X,,,,X,,,,,,,,,,,,,Force an enemy troop to retreat.,1,,Trash this card -> Deploy troops. ,,,,X,,
Eliminate Allies,,Bloodlines,Imperium,Uprising,1,2,,,When this card is trashed: +2 Troops.,,,,,,,,X,,,,,,,X,,,,,Trash a card.,1,1,,X,,,,,
Elite Forces,,Bloodlines,Imperium,All,1,3,,,,,,,X,X,,,,,,,,,,,,,,,"You may trash a card from your hand. If you trash an Emperor card: +1 Intrigue, +1 Troop, Deploy troops. ",1,1,,X,X,,,,
Engineered Miracle,,Bloodlines,Imperium,All,1,3,,,,,,X,,,,X,,,,,,,,,,,,,Discard a card -> +1 Water,1,,If you have 6+ Persuasion: Trash this card -> Acquire a card from the Imperium Row.,,,X,,,
Fremen War Name,,Bloodlines,Imperium,All,1,4,,,,,,X,,,,X,,,,,,,,,,,,,If you gained 2+ Spice this turn: +1 Troop and Draw a card.,2,,Fremen Bond: +2 Swords,,,,X,,
Holy War,,Bloodlines,Imperium,Uprising,1,5,,,,X,,,X,X,X,,,,,,,,,X,,,,,Each opponent loses one troop. Each opponent spying on the board space where you sent an Agent this turn must move that Spy.,1,,+1 Troop AND Fremen Bond: Deploy troops.,,,,X,,
I Believe,,Bloodlines,Imperium,All,1,3,,,,,X,,,,,X,,,,,,,,,,,,,Discard a card -> Draw a card,1,,If you have 6+ Persuasion: +2 Troops.,,,,X,,
Imperial Throneship,,Bloodlines,Imperium,All,1,7,,+1 Influence with the Emperor,,X,X,X,X,X,X,,,,,,,,,,,,,,+1 Intrigue,2,,If you have 4+ garrisoned units: +1 Persuasion and +3 Solari.,X,,,,,
Intelligence Training,,Bloodlines,Imperium,Uprising,2,3,,+1 Spy,,X,X,,,,,,,,,,,,,X,,,,,,1,1,If you have 6+ Persuasion: +1 Spy,X,,,,,
Ixian Ambassador,,Bloodlines,Imperium,Uprising,2,4,,,,X,,,,,,,,X,,,,,,,,,,,+1 Spice,1,,,,,,,,
Litany Against Fear,,Bloodlines,Imperium,All,1,3,,,At the start of your turn: Put this card into play -> Draw a card and pass your turn. ,,,,,,,,,,,,,,,,,,,,,2,,,,,X,,,
Pointing the Way,,Bloodlines,Imperium,Uprising,1,6,,,,,X,X,,,,X,,,,,,,,,X,,,,If you have 1+ Sandworms in the Conflict: +1 Intrigue card.,1,2,If you have 6+ Persuasion: +1 Influence with any Faction.,,,,X,,
Possible Futures,,Bloodlines,Imperium,All,1,8,,+1 Water,,X,X,X,,,,,,,,,,,,,,,,,"+1 Influence with any Faction OR +2 Troops. If you have another Bene Gesserit card in play, get both. ",2,,+1 Water,,,X,X,,
Quash Rebellion,,Bloodlines,Imperium,Bloodlines,2,5,,,,X,,,X,X,,,,,,,,,,,,,,X,+2 Solari,,2,If you have 1+ Sardaukar Commanders in the Conflict: +2 Persuasion.,X,,,,,
Sandwalk,,Bloodlines,Imperium,All,2,1,,,,,,X,,,,,,,,,,,,,,,,,If you gained 2+ Spice this turn: Draw a card.,1,1,Fremen Bond: +1 Persuasion.,,,,X,,
Sardaukar Standard,,Bloodlines,Imperium,Bloodlines,1,4,,,"When this card is trashed, acquire and recruit the Sardaukar Commander in the bank. ",,X,,X,,,,,,,,,,,,,,,X,,2,,+1 Troop,X,,,,,
Shrouded Counsel,,Bloodlines,Imperium,Uprising,1,4,,,,,,,,,,,X,,,,,,,X,,,,,+1 Intrigue card,1,,If you have 6+ Persuasion: Trash a card.,,,X,,,
Southern Faith,,Bloodlines,Imperium,All,1,5,,,,,X,,,,,X,,,,,,,,,,,,,Draw a card OR If you have another Bene Gesserit card in play: +1 Influence with the Bene Gesserit.,1,2,If you have 6+ Persuasion: +2 Spice.,,,X,X,,
Urgent Shigawire,,Bloodlines,Imperium,All,2,2,,,,,X,,,,X,,,,,,,,,,,,,,"The next Bene Gesserit card you play this round has all Agent icons and, added to its Agent box: Draw a card.",1,,,,,X,,,
Bene Tleilax Lab,,Immortality,Imperium,Immortality,1,2,,,,,X,X,,,,,,,,,,X,,,,,,,+1 Specimen,1,,"If at 1 DNA, +1 Spice",,,,,,
Bene Tleilax Researcher,,Immortality,Imperium,Immortality,1,4,,,,X,,,,,,,,,,,,X,X,,,,,,+1 Research,1,,"If at 1 DNA, +1 Persuasion
If at 2 DNA, +1 Persuasion",,,,,,
Blank Slate,,Immortality,Imperium,Immortality,1,1,,,,X,X,X,,,,,,,,,,,X,,,,,,"If grafted, this has access to all factions.",1,,,,,,,,
Clandestine Meeting,,Immortality,Imperium,Immortality,1,4,,,,,,,,,,,,,,,,,X,,,,,,"+1 Bene Gesserit Influence, +1 Intrigue card",2,,,,,X,,,
Corrupt Smuggler,,Immortality,Imperium,Immortality,1,3,,,,,,X,,X,,,,,,,,,X,,,,,,If grafted: +2 Spice,1,1,,,X,,X,,
Dissecting Kit,,Immortality,Imperium,Immortality,2,2,,,,X,X,,,,,,,,,,,X,X,,,,,,Trash the other grafted card -> +1 Specimen,1,,"If at 1 DNA, +1 Beetle",,,,,,
For Humanity,,Immortality,Imperium,All,1,7,,,,X,,X,,,X,,,,,,,,,,,,,,+1 Influence with any Faction,2,,With the Bene Gesserit Alliance: -2 Influence with a Faction -> +1 Victory Point,,,X,,9,
High Priority Travel,,Immortality,Imperium,All,2,1,,,,X,,X,,,,,,,,,,,,,,,,,With 2 Influence with Spacing Guild: Draw a card OR Turn space into a Combat space,1,,+1 Solari,,X,,,,
Imperium Ceremony ,,Immortality,Imperium,All,1,6,,,,X,,,X,X,,,,,,,,,,,,,,,Look at the top two cards of the Intrigue deck. Keep one and put the other pack on top.,3,,,X,X,,,,
Interstellar Conspiracy,,Immortality,Imperium,All,1,4,,,,,X,,,,,,,,,,,,X,,,,,,+1 Spice AND If grafted with an Emperor or Spacing Guild card: +1 Influence with any Faction,2,,,,,,,,
Keys to Power,,Immortality,Imperium,All,1,5,,,,X,,,,X,X,,,,,,,,,,,,,,With 2 Influence with Emperor: +2 Spice,2,,,,X,X,,,
Lisan Al Gaib,,Immortality,Imperium,All,1,4,,+1 Spice,,,X,X,,,,X,,,,,,,,,,,,,"If you have another Bene Gesserit card in play, +1 Influence with Fremen",1,,Fremen Bond: +2 Swords,,,X,X,,
Long Reach,,Immortality,Imperium,All,1,6,,,,,,,,,,,,,,,,,,,,,,,"If you have another Bene Gesserit card in play, this card has Green, Purple, and Yellow access. +1 Influence with 2 Factions of your choice. ",1,,+1 Intrigue card,,,X,,,
Occupation,,Immortality,Imperium,All,1,8,,+3 Troops,,,X,X,X,X,X,X,,,,,,,,,,,,,Draw a card AND Turn space into a Combat space,,,"+1 Water, +1 Spice, +1 Troop",,X,,,,
Organ Merchants,,Immortality,Imperium,Immortality,1,3,,,,,X,X,,,,,,,,,,X,,,,,,,1 Specimen -> 4 Solari,1,,+1 Solari,,,,,,
Planned Coupling,,Immortality,Imperium,All,2,3,,,,,,,,,X,,,,,,,,X,,,,,,Draw 1 card,1,,,,,X,,,
Replacement Eyes,,Immortality,Imperium,Immortality,1,5,,,When this card is trashed: +1 Beetle,,X,,,,,,,,,,,,X,,,,,,Trash a card -> Draw 1 card,1,1,,,,,,,
Sarduakar Quartermaster,Sardaukar Quartermaster,Immortality,Imperium,Immortality,1,2,,,,X,X,,,,,,,,,,,,X,,,,,,"If grafted: +1 Troop, Draw a Card",1,2,,X,,,,,
Shadout Mapes,,Immortality,Imperium,All,1,2,,,,,,X,,,,X,,,,,,,,,,,,,,1,1,You may deploy or retreat one of your troops.,,,,X,,
Show of Strength,,Immortality,Imperium,All,1,3,,,,,,,,,,,,,,,,,X,,,,,,"If you have more deployed troops than each opponent, this has Green and Yellow access. Draw two cards.",1,2,,X,,,X,,
Spiritual Fervor,,Immortality,Imperium,Immortality,2,3,,+1 Research,,,,X,,,,,,,,,,X,,,,,,,,1,,+1 Specimen,,,,,,
Stillsuit Manufacturer,,Immortality,Imperium,All,1,5,,,,,X,,,,,X,,,,,,,,,,,,,+1 Water AND If you have the Fremen Alliance: Return this card from play to your hand.,1,,Fremen Bond: +2 Spice,,,,X,,
Throne Room Politics,,Immortality,Imperium,All,1,4,,,,,,,X,,,,,,,,,,,,,,,,"+1 Troop, Trash a card",1,,+1 Influence with Bene Gesserit,X,,X,,,
Tleilaxu Master,,Immortality,Imperium,Immortality,2,5,,,,X,,X,,,,,,,,,,X,,,,,,,"If at 1 DNA: You may acquire a card that costs 6 Persuasion or less.
If at 2 DNA: Put that card in your hand.",1,,+2 Research,,,,,,
Tleilaxu Surgeon,,Immortality,Imperium,Immortality,1,3,,,,,X,,X,,,,,,,,,X,,,,,,,2 Specimen -> 2 Beetles,2,,Lose two troops -> +2 Specimen,,,,,,
Arrakis Revolt,,Promo,Imperium,Uprising,1,6,,+1 Troop,,,X,,,,,,,,,,,,,,X,,,,Maker Hooks:  2 Spice -> Destroy the Shield Wall &  Deploy a Worm,1,3,,,,,X,,
"Boundless Ambition
",,Promo,Imperium,All,1,5,,,,,,,X,X,X,X,,,,X,,,,,,,,,Signet Ring,,,Acquire a card that costs 5 Persuation or less.,,,,,,
"Duncan, Loyal Blade",,Promo,Imperium,All,1,5,,,,,X,,,,,X,,,,X,,,,,,,,,+1 Troop,1,2,Retreat any number of Troops From/To your Garrison.,,,,,,
Jessica of Arrakis,,Promo,Imperium,All,1,3,,,,,,X,,,,,,,,,,,,,,,,,"With another Bene Gesserit card in play:
Draw 2 cards",1,2,,,,X,,,
Pivotal Gambit,,Promo,Imperium,All,1,3,,,,,X,,,,,X,,,,,,,,,,,,,Trash this card -> +1 Troop AND Add +1 Influence with any Faction to the first place reward for this conflict,1,2,,,,,X,,
Ruthless Leadership,Ruthless Leadeship,Promo,Imperium,Bloodlines,1,4,,,,,X,X,,,,,,,,,,,,,,,,X,If you have 1+ Sardaukar Commanders in the Conflict: You may Trash two cards.,1,1,If you have 6+ Persuasion: Deploy troops.,X,,,,,
The Beast's Spoils,,Promo,Imperium,Uprising,1,3,,,,,X,,,,,,,,,,,,,,,,X,,"Gain rewards for your face-up Battle Icons: Green -> Trash a card, Yellow -> +1 Spice, Blue -> +1 Troop",,3,,X,,,,,
Thumper,,Promo,Imperium,All,1,3,,,,,,X,,,,,,,,,,,,,,,,,Double the bonus spice you harvest with this Agent,1,,+1 Spice,,,,X,,
Appropriate,,Rise of Ix,Imperium,Shipping (Rise of Ix),1,5,,+1 Shipping track move,,X,,X,,,,,,,X,,,,,,,,,,"With 2 Emperor Influence: +1 Acquire Tech
May use Solari instead of Spice to pay",2,,,X,,,,,
"Bounty Hunter
",,Rise of Ix,Imperium,All,1,1,,,,,X,,,,,,,,,,X,,,,,,,,"If used to send an Agent to a board space
with an enemy Agent: +2 Solari",1,1,,,,,,,
CHOAM Delegate,,Rise of Ix,Imperium,All,1,1,,,,,,X,,,,,,,,X,X,,,,,,,,-,,,+3 Solari,,,,,,
"Court Intrigue
",,Rise of Ix,Imperium,All,1,2,,,,,,,X,,,,,,,,X,,,,,,,,"Put one of your Intrigue cards on the bottom
of the Intrigue deck --> Draw 1 Intrigue card.",1,1,,X,,,,,
"Desert Ambush
",,Rise of Ix,Imperium,All,1,3,,,,,,X,,,,,,,,,,,,,,,,,"For each troop you deploy this turn,
you may force an enemy unit to retreat.",1,1,,,,,X,,
"Embedded Agent
",,Rise of Ix,Imperium,Shipping (Rise of Ix),1,5,,,,X,,,,,,,,,,,X,,,,,,,,"With another Bene Gesserit card in play:
+2 Freighter",1,,Draw 1 Intrigue card,,,X,,,
Esmar Tuek,,Rise of Ix,Imperium,All,1,5,,,,,X,X,,,,,,,,X,,,,,,,,,"Pay 1 Spice -> Gain +1 Bene Gesserit
Influence and Draw 1 card.",,,+2 Spice and +2 Solari,,X,,,,1
"Freighter Fleet
",,Rise of Ix,Imperium,Shipping (Rise of Ix),2,2,,,,,,X,,,,,,,X,X,,,,,,,,,,,,+1 Freighter,,,,,,
"Full-Scale Assault
",Full-Scale Assult,Rise of Ix,Imperium,Tech (Rise of Ix),1,8,,+1 Dreadnought,,,X,,X,,,,,X,,,,,,,,,,,+2 Troops,2,,"+3 Swords for each of your dreadnoughts
in the Conflict",X,,,,,
Guild Accord,,Rise of Ix,Imperium,All,1,6,,,,,,,,X,,,,,,X,X,,,,,,,,"It costs 2 Spice less to send an Agent to the
Heighliner board space with this card.",,,"+1 Water and with
2 Spacing Guild Alliance: +3 Spice",,X,,,,
Guild Chief Administrator,,Rise of Ix,Imperium,Shipping (Rise of Ix),1,4,,,,,X,X,,X,,,,,X,,,,,,,,,,"Discard a card -->
Trash a card",1,,+1 Freighter,,X,,,,
Imperial Bashar,,Rise of Ix,Imperium,All,1,4,,,,,X,,,,,,,,,,,,,,,,,,+1 Troop OR Trash a card,1,2,"+1  Sword for each other revealed card that
provides one or more + Sword this turn.",X,,,,,1
"Imperial Shock Trooper
",,Rise of Ix,Imperium,All,1,3,,,,,,,,,,,,,,,,,,,,,,,,1,2,If you have an Agent on an Emperor board space: +3 Swords,X,,,,,
"In the Shadows
",,Rise of Ix,Imperium,All,2,2,,,,X,X,,,,,,,,,X,,,,,,,,,"With 2 Bene Infl.: Discard a card --> +1 Infl. with:
Emperor OR Spacing Guild OR Fremen.",,,+1 Bene Gesserit Influence,,,X,,,
Ix-Guild Compact,,Rise of Ix,Imperium,Tech (Rise of Ix),1,3,,,,,,,,X,,,,X,,X,,,,,,,,,"Discard 2 cards -->
+1 Dreadnought",,,+2 Tech Negotiation,,X,,,,
Ixian Engineer,,Rise of Ix,Imperium,Tech (Rise of Ix),2,5,,,,,,X,,,,,,X,,,,,,,,,,,Acquire Tech,,,"If you have three or more Tech tiles:
Trash this card --> +1 Victory Point",,,,,1,
Jamis,,Rise of Ix,Imperium,All,1,2,,,,,,,,,,X,,,,,X,,,,,,,,Trash a card,Trash a card,2,,,,,X,,
"Landing Rights
",,Rise of Ix,Imperium,Shipping (Rise of Ix),1,4,,,,,X,,,,,,,,X,,X,,,,,,,,+1 Freighter,2,,,,X,,,,
"Local Fence
",,Rise of Ix,Imperium,All,1,3,,,,,X,,,,,,,,,,,,,,,,,,"Pay 2 Spice --> Gain +5 Solari OR
Pay 5 Solari --> Gain +4 Spice",2,,,,,,,,
"Negotiated Withdrawal
",,Rise of Ix,Imperium,All,2,4,,+1 Troop,,X,X,X,,,,,,,,,,,,,,,,,,2,,Retreat 3 of your Units --> +1 Influence,,,,,,1
"Satellite Ban
",,Rise of Ix,Imperium,All,1,5,,,,,,,,X,,X,,,,,,,,,,,,,"Discard a card -->
+1 Spice and +1 Water",1,,Retreat up to 2 Troops from Conflict,,X,,X,,1
Sayyadina,,Rise of Ix,Imperium,All,1,3,,,,,,,,,X,X,,,,,,,,,,,,,Pay 3 Water --> +1 Victory Point,,,Fremen Bond: +3 Persuation,,,X,X,9,
Shai-Hulud,,Rise of Ix,Imperium,All,1,7,,Trash a card,,,,X,,,,,,,,,,,,,,,,,Trash a card --> +2 Troops,,,Fremen Bond: +5 Swords,,,,X,,1
"Spice Trader
",,Rise of Ix,Imperium,All,1,4,,,,,X,X,,,,,,,,,,,,,,,,,"With 2 Fremen Influence:
Discard a card --> +2 Spice",2,1,,,,,X,,1
"Treachery
",,Rise of Ix,Imperium,All,2,6,,,,,,,X,X,X,X,,,,X,,,,,,,,,"Gain 2 Influence instead of one.
Trash this card.",,,"+2 Troops, deploy these
Troops to the Conflict.",,,,,,1
Truthsayer,,Rise of Ix,Imperium,All,2,3,,,,X,,,X,,X,,,,,,,,,,,,,,Discard a card --> Draw a card,1,1,,X,,X,,,1
"Water Peddler
",,Rise of Ix,Imperium,All,1,1,,+1 Water,,,,,,,,,,,,X,,,,,,,,,,,,+1 Water,,,,,,1
"Web of Power
",,Rise of Ix,Imperium,All,1,4,,,,,,,,,X,,,,,,X,,,,,,,,"With 2 Emperor Infl.: +2 Solari and With 2 Guild Infl.:
Draw a card and With 2 Fremen Infl.: +1 Water.",1,,+1 Influence,,,X,,,
Weirding Way,,Rise of Ix,Imperium,All,1,3,,,,,X,X,,,,,,,,,,,,,,,,,"You may take another turn
immediately after this one.",1,2,,,,X,,,1
Cargo Runner,,Uprising,Imperium,Contracts (Uprising),1,3,,,,X,X,X,,,,,,,,,,,,,,X,,,If you have completed 2+ contracts: Draw a card. If you have completed 4+ contracts: Draw a card.,1,,,,X,,,,1
Delivery Agreement,,Uprising,Imperium,Contracts (Uprising),1,5,,,,,X,,,,,,,,,,,,,,,X,,,Discard a card -> +1 Contract,,,+1 Spice OR If you have completed 4+ Contracts: Trash this card -> +1 Victory Point,,X,,,1,1
Interstellar Trade,,Uprising,Imperium,Contracts (Uprising),1,7,,+1 Contract,,X,X,X,,,,,,,,,,,,,,X,,,+1 Influence with a Faction,,,+1 Persuasion for each Contract you have completed.,,X,,,,1
Priority Contracts,,Uprising,Imperium,Contracts (Uprising),1,6,,,,X,,X,,,,,,,,,,,,,,X,,,+1 Contract,,,+2 Spice OR If you have completed 4+ Contracts: Trash this card -> +1 Victory Point,,X,,,1,1
Bene Gesserit Operative,,Uprising,Imperium,Uprising,2,3,,,,,,,,,X,,,,,,,,,X,,,,,+1 Spy,1,,If you have two or more Spies on the board: +2 Persuasion,,,X,,,1
Branching Path,,Uprising,Imperium,All,1,3,,,,,X,,,,X,,,,,,,,,,,,,,"With 2 Influence with Bene Gesserit: Trash an intrigue card -> +1 Intrigue card, +2 Spice",2,,,,,X,,,1
Calculus of Power,,Uprising,Imperium,Uprising,2,3,,,,,X,,,,,,X,,,,,,,,,,,,Trash a card,2,,Trash another Emperor card you have in play -> +3 Swords,X,,,,,2
Captured Mentat,,Uprising,Imperium,All,1,5,,,,X,,X,,,,,,,,,,,,,,,,,"Discard 1 card -> +1 Intrigue card, Draw 1 card",1,,-1 Influence with a Faction -> +1 Influence with a Faction,,,,,,1
"Chani, Clever Tactician",,Uprising,Imperium,All,1,5,,,,,X,X,,,,X,,,,,,,,,,,,,If you have three or more units in the conflict: +1 Intrigue card,,,"Retreat two of your troops -> 4 Swords
Fremen Bond: +2 Persuasion",,,,X,,1
